com.samsung.shealth.step_daily_trend,6188005,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
5adc2ff4-56e3-40a3-aeef-49b6b9102829.binning_data.json,2021-09-21 11:10:32.906,2021-09-20 04:30:01.533,com.sec.android.app.shealth,-2,6660,1.54849,5164.2026,256.8564,VfS0qUERdZ,com.sec.android.app.shealth,5adc2ff4-56e3-40a3-aeef-49b6b9102829,1632096000000,
f9d5eb15-f678-4f78-9d9e-d3cbe59ce0df.binning_data.json,2019-10-30 23:00:02.339,2019-10-30 23:00:02.339,com.sec.android.app.shealth,0,10512,3.6801379,8385.458,384.52798,dNgkxZR9yp,com.sec.android.app.shealth,f9d5eb15-f678-4f78-9d9e-d3cbe59ce0df,1572393600000,
1501afa7-ecd3-4700-899c-be5d72b8c2d9.binning_data.json,2021-09-21 11:10:38.676,2021-09-19 19:20:31.106,com.sec.android.app.shealth,-2,5725,1.5862676,4553.4634,242.86977,VfS0qUERdZ,com.sec.android.app.shealth,1501afa7-ecd3-4700-899c-be5d72b8c2d9,1630108800000,
0b1f0543-2ed8-440d-a5f2-9789905a992e.binning_data.json,2019-09-30 22:35:18.464,2019-09-30 04:46:49.964,com.sec.android.app.shealth,-2,19115,1.5321164,14829.256,715.4226,VfS0qUERdZ,com.sec.android.app.shealth,0b1f0543-2ed8-440d-a5f2-9789905a992e,1569801600000,
c2451ffb-c732-4df4-b6e2-cc6cf3dc73ea.binning_data.json,2019-09-29 22:00:01.133,2019-09-29 22:00:01.133,com.sec.android.app.shealth,0,341,3.1229877,273.36426,12.756317,dNgkxZR9yp,com.sec.android.app.shealth,c2451ffb-c732-4df4-b6e2-cc6cf3dc73ea,1569715200000,
1e51e4ba-ea23-4e30-be6f-4b42ddde7025.binning_data.json,2019-10-24 22:43:26.997,2019-10-24 22:43:26.997,com.sec.android.app.shealth,0,7553,2.7072651,5990.749,275.3248,dNgkxZR9yp,com.sec.android.app.shealth,1e51e4ba-ea23-4e30-be6f-4b42ddde7025,1571875200000,
26fd60dd-c4e8-4b2a-a796-ba593f34728d.binning_data.json,2019-08-18 22:00:01.419,2019-08-18 22:00:01.419,com.sec.android.app.shealth,0,8130,6.9444447,6513.833,306.27658,dNgkxZR9yp,com.sec.android.app.shealth,26fd60dd-c4e8-4b2a-a796-ba593f34728d,1566086400000,
f29e9f2b-4a86-4572-b277-674e8cc3f165.binning_data.json,2019-11-29 22:15:18.522,2019-11-29 07:22:07.234,com.sec.android.app.shealth,18,4753,3.4166667,2980.32,169.19,AumAWJiKT9,com.sec.android.app.shealth,f29e9f2b-4a86-4572-b277-674e8cc3f165,1574985600000,
d266ec91-85a4-4fbe-b8ac-459b1541e3f5.binning_data.json,2019-12-24 01:18:53.813,2019-12-23 07:10:00.237,com.sec.android.app.shealth,18,5517,6.9444447,4404.4517,253.08492,AumAWJiKT9,com.sec.android.app.shealth,d266ec91-85a4-4fbe-b8ac-459b1541e3f5,1577059200000,
43bfc27d-8739-4fd4-b670-2fb71496a3be.binning_data.json,2019-08-30 05:06:59.558,2019-08-29 04:32:51.855,com.sec.android.app.shealth,-2,8564,1.5025948,6581.8364,318.5389,VfS0qUERdZ,com.sec.android.app.shealth,43bfc27d-8739-4fd4-b670-2fb71496a3be,1567036800000,
6634e644-6247-4c75-b18e-5ceec78ca815.binning_data.json,2019-12-05 01:28:17.341,2019-12-05 01:28:17.341,com.sec.android.app.shealth,0,6107,2.869198,4838.7773,224.32068,dNgkxZR9yp,com.sec.android.app.shealth,6634e644-6247-4c75-b18e-5ceec78ca815,1575417600000,
f56bb2d9-b632-4251-9b3b-8b718fc96e18.binning_data.json,2019-12-08 01:36:10.094,2019-12-07 01:24:25.087,com.sec.android.app.shealth,18,7769,6.7369666,5847.2954,309.82,AumAWJiKT9,com.sec.android.app.shealth,f56bb2d9-b632-4251-9b3b-8b718fc96e18,1575676800000,
66ee8e27-8cb1-44a9-b2d7-b0d626b38bcd.binning_data.json,2019-10-21 22:00:00.998,2019-10-21 22:00:00.998,com.sec.android.app.shealth,0,1251,2.7297046,980.125,45.361206,dNgkxZR9yp,com.sec.android.app.shealth,66ee8e27-8cb1-44a9-b2d7-b0d626b38bcd,1571616000000,
