com.samsung.shealth.activity.day_summary,6188005,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
12797,7617564,,0,2019-06-05 21:47:43.872,2019-06-04 22:00:00.737,60,991990,210,9652.269,486.24173,bac15ad9-c106-40ab-9e67-6e53c313643b.extra_data.json,dNgkxZR9yp,205496,com.sec.android.app.shealth,7412068,25800000,bac15ad9-c106-40ab-9e67-6e53c313643b,1559692800000,
7320,4526853,,0,2019-06-13 22:35:21.128,2019-06-12 23:00:00.269,60,420000,125,5514.454,273.70877,c6d62339-80b7-4dc8-bbd4-36bf83246196.extra_data.json,dNgkxZR9yp,82979,com.sec.android.app.shealth,4443874,11880000,c6d62339-80b7-4dc8-bbd4-36bf83246196,1560384000000,
10088,5729986,,0,2019-06-18 23:52:28.523,2019-06-17 22:00:00.488,60,420000,158,7723.765,381.8523,0d88d76e-3887-4524-b129-4a2b7b2db774.extra_data.json,dNgkxZR9yp,78277,com.sec.android.app.shealth,5651709,22860000,0d88d76e-3887-4524-b129-4a2b7b2db774,1560816000000,
13735,7904718,,0,2019-06-14 23:15:07.679,2019-06-13 22:00:01.648,60,480000,218,10749.74,548.39197,68afda22-1721-43a9-a292-f9ad7172123a.extra_data.json,dNgkxZR9yp,307407,com.sec.android.app.shealth,7597311,12600000,68afda22-1721-43a9-a292-f9ad7172123a,1560470400000,
8395,5192393,,0,2019-06-11 23:09:42.559,2019-06-10 22:00:40.578,60,854580,141,6202.8247,311.07416,7434477d-89c4-475a-933d-8a1f352d155c.extra_data.json,dNgkxZR9yp,37200,com.sec.android.app.shealth,5155193,8340000,7434477d-89c4-475a-933d-8a1f352d155c,1560211200000,
1706,1124285,,0,2019-06-19 21:18:33.282,2019-06-18 22:00:01.214,60,46556,30,1225.7717,64.04883,4a12247b-5315-4ca2-8383-17fe334bd16e.extra_data.json,dNgkxZR9yp,20400,com.sec.android.app.shealth,1103885,15660000,4a12247b-5315-4ca2-8383-17fe334bd16e,1560902400000,
2819,1706834,,0,2019-06-15 21:35:16.659,2019-06-14 22:00:01.933,60,300000,45,2058.9724,108.88723,c7cad096-bdfe-4364-8948-a90426641b71.extra_data.json,dNgkxZR9yp,31600,com.sec.android.app.shealth,1675234,32880000,c7cad096-bdfe-4364-8948-a90426641b71,1560556800000,
9248,5963671,,0,2019-06-25 00:24:36.766,2019-06-23 22:00:01.016,60,996680,165,7004.815,346.5062,d3378cb4-cec9-433b-bb5a-d423fc07bb6e.extra_data.json,dNgkxZR9yp,67170,com.sec.android.app.shealth,5896501,24660000,d3378cb4-cec9-433b-bb5a-d423fc07bb6e,1561334400000,
10048,5939130,,0,2019-06-17 21:35:13.107,2019-06-16 22:00:01.232,60,420000,163,7665.17,388.30206,3390f9c2-da63-4391-a7bb-bd9f8b894037.extra_data.json,dNgkxZR9yp,112719,com.sec.android.app.shealth,5826411,13560000,3390f9c2-da63-4391-a7bb-bd9f8b894037,1560729600000,
11618,6906733,,0,2019-06-25 23:15:04.416,2019-06-24 22:00:02.889,60,748250,190,9347.771,461.11533,6548faa3-4698-4cf6-84e5-ee5890a0057a.extra_data.json,dNgkxZR9yp,216755,com.sec.android.app.shealth,6689978,15960000,6548faa3-4698-4cf6-84e5-ee5890a0057a,1561420800000,
