com.samsung.shealth.exercise.weather,6188005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2019-08-12 15:56:56.263,48.823418,,W. 260,Partly Cloudy,0,1,TWC,2019-08-12 15:56:56.266,2019-08-12 15:56:56.266,1,2.3246722,19.0,67,UTC+0300,dNgkxZR9yp,f70aa9ad-9f18-49c2-9f08-32e4a828f26e,com.sec.android.app.shealth,km/h,0,14.0,2,bd21aa5f-0b54-4002-891e-157165f24483,
0.0,,2019-12-30 21:10:52.080,49.218422,,,Clear,,1,TWC,2019-12-30 21:25:06.402,2019-12-30 21:25:06.402,0,0.4757675,2.0,66,UTC+0200,AumAWJiKT9,dab50509-4f49-8357-668a-8a0406192826,com.sec.android.app.shealth,,,,18,58190611-43ae-b26a-8775-b95a65f68d08,
,0,2019-08-20 06:43:15.486,48.80476,,NW. 320,Sunny,0,1,TWC,2019-08-20 06:43:15.490,2019-08-20 06:43:15.490,1,2.1863616,15.0,78,UTC+0300,dNgkxZR9yp,141e9a49-1c09-46f1-9764-0ef0fb726cec,com.sec.android.app.shealth,km/h,0,5.0,1,4442f008-12af-4009-9bf4-f90b58d45c4b,
0.0,,2020-01-04 14:43:31.950,48.82163,,,Cloudy,,1,TWC,2020-01-04 15:18:55.781,2020-01-04 15:18:55.781,0,2.2051039,9.0,72,UTC+0200,AumAWJiKT9,94194ca7-a583-eb63-cd35-5aea18050508,com.sec.android.app.shealth,,,,3,5f3df110-12c5-af1d-c345-b1ce21bc0f43,
,0,2019-08-26 18:09:15.586,48.804264,,NNE. 30,Sunny,0,1,TWC,2019-08-26 18:09:15.589,2019-08-26 18:09:15.589,1,2.176971,30.0,32,UTC+0300,dNgkxZR9yp,cbfd7011-65f6-4b95-9267-b15db7de1e4c,com.sec.android.app.shealth,km/h,0,6.0,1,fae4a596-eb15-45b6-9388-a3b0529b6e3a,
0.0,,2020-01-10 17:34:19.390,48.843838,,,Cloudy,,1,TWC,2020-01-10 17:50:54.729,2020-01-10 17:50:54.729,0,2.3210483,8.0,80,UTC+0200,AumAWJiKT9,8cdd35fd-f4c9-ff17-6501-b01f73b40893,com.sec.android.app.shealth,,,,3,6d73ad5b-5a69-8661-4b5e-77e64b500de1,
0.0,,2020-01-14 07:35:09.030,48.874344,,,Cloudy,,1,TWC,2020-01-14 07:55:34.868,2020-01-14 07:55:34.868,0,2.3284037,10.0,71,UTC+0200,AumAWJiKT9,87c840d2-7bf9-c91b-a4a4-6eba6a3269e5,com.sec.android.app.shealth,,,,3,68f437da-a33b-eb68-f969-d6d5e1ba8741,
3.0,,2019-09-03 09:13:36.550,48.812626,,,Sunny,,1,TWC,2019-09-03 09:26:40.552,2019-09-03 09:26:40.552,0,2.1884243,19.0,58,UTC+0300,AumAWJiKT9,d5f7b2cd-95cd-9209-323a-09c8718d23da,com.sec.android.app.shealth,,,,1,b09c21fb-930e-91a2-9b77-7e3391942a53,
0.0,,2020-01-16 09:54:20.430,48.807217,,,Mostly Cloudy,,1,TWC,2020-01-16 10:12:18.860,2020-01-16 10:12:18.860,0,2.1859012,7.0,100,UTC+0200,AumAWJiKT9,6108deda-4060-214c-41d8-353e5179c613,com.sec.android.app.shealth,,,,3,699ddf3b-65c9-fd7c-62a2-5c173c3834d1,
0.0,,2019-09-09 05:37:48.510,48.80982,,,Partly Cloudy,,1,TWC,2019-09-09 05:56:13.588,2019-09-09 05:56:13.588,0,2.1875083,9.0,86,UTC+0300,AumAWJiKT9,3af42ac5-7ccb-c168-5866-6d5f35fb3888,com.sec.android.app.shealth,,,,2,2f554d5d-8002-2aae-8036-7355cb990384,
