com.samsung.shealth.sleep,6188005,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,,,,,,,,,,,,0,,,,,,,,b729b7aa-1b90-d39a-e4e9-32cb2767c857.extra_data.json,,81.0,,,2019-12-31 13:50:00.000,,2019-12-31 16:00:21.038,2019-12-31 16:00:21.038,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2019-12-31 15:55:00.000,b729b7aa-1b90-d39a-e4e9-32cb2767c857,
,,,,,,,,,,,,0,,,,,,,,78339579-5205-a68d-4d68-644c16b12d86.extra_data.json,,95.0,,,2020-01-02 23:11:00.000,,2020-01-03 03:04:20.362,2020-01-03 03:04:20.362,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-03 02:48:00.000,78339579-5205-a68d-4d68-644c16b12d86,
,,,,,,,,,,,,0,,,,,,,,aff1f8cb-0352-dbf4-c00b-fb3e976913e9.extra_data.json,,78.0,,,2020-01-05 08:44:00.000,,2020-01-05 10:16:25.274,2020-01-05 10:16:25.274,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-05 10:13:00.000,aff1f8cb-0352-dbf4-c00b-fb3e976913e9,
,,,,,,,,,,,,0,,,,,,,,abf18224-618b-8c47-fe46-38ee1cf430ee.extra_data.json,,86.0,,,2020-01-09 22:44:00.000,,2020-01-10 07:17:31.988,2020-01-10 07:17:31.988,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-10 07:17:00.000,abf18224-618b-8c47-fe46-38ee1cf430ee,
,,,,,,,,,,,,0,,,,,,,,a7e73f20-72ed-db26-4bc4-157e83e439b1.extra_data.json,,90.0,,,2020-01-12 19:35:00.000,,2020-01-12 20:56:31.544,2020-01-12 20:56:31.544,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-12 20:38:00.000,a7e73f20-72ed-db26-4bc4-157e83e439b1,
,,,,,,,,,,,,0,,,,,,,,59b7da48-9411-52a8-24c6-2e9e76237a7b.extra_data.json,,88.0,,,2020-01-15 22:28:00.000,,2020-01-16 07:07:12.102,2020-01-16 07:07:12.102,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-16 07:07:00.000,59b7da48-9411-52a8-24c6-2e9e76237a7b,
,,,,,,,,,,,,0,,,,,,,,05d8e739-0bd4-7d29-6d39-486dd83375d9.extra_data.json,,87.0,,,2020-01-19 13:56:00.000,,2020-01-19 15:29:09.343,2020-01-19 15:29:09.343,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-19 15:26:00.000,05d8e739-0bd4-7d29-6d39-486dd83375d9,
,,,,,,,,,,,,0,,,,,,,,cb1f2e34-d103-11bf-e51b-9f449c34d3ae.extra_data.json,,91.0,,,2020-01-20 10:13:00.000,,2020-01-20 11:44:07.422,2020-01-20 11:44:07.422,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-20 11:38:00.000,cb1f2e34-d103-11bf-e51b-9f449c34d3ae,
,,,,,,,,,,,,0,,,,,,,,6d4ecc57-2a97-b134-df80-cd4fd53f33dc.extra_data.json,,91.0,,,2020-01-22 22:23:00.000,,2020-01-23 05:09:58.531,2020-01-23 05:09:58.531,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-23 05:04:00.000,6d4ecc57-2a97-b134-df80-cd4fd53f33dc,
,,,,,,,,,,,,0,,,,,,,,33513c7e-ddea-b9ae-7589-5eaf1514da8c.extra_data.json,,86.0,,,2020-02-23 21:42:00.000,,2020-02-24 17:04:51.173,2020-02-24 17:04:51.173,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-24 04:35:00.000,33513c7e-ddea-b9ae-7589-5eaf1514da8c,
,,,,,,,,,,,,0,,,,,,,,0f0149fa-10e0-2b9d-869c-c7e6e8386318.extra_data.json,,90.0,,,2020-02-17 00:24:00.000,,2020-02-17 04:46:31.654,2020-02-17 04:46:31.654,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-17 04:34:00.000,0f0149fa-10e0-2b9d-869c-c7e6e8386318,
,,,,,,,,,,,,0,,,,,,,,fa35d804-0a48-b315-d599-926f951a7a4a.extra_data.json,,88.0,,,2020-02-10 02:42:00.000,,2020-02-10 07:09:48.646,2020-02-10 07:09:48.646,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-10 07:07:00.000,fa35d804-0a48-b315-d599-926f951a7a4a,
,,,,,,,,,,,,0,,,,,,,,67e25e28-6ed9-8298-fe49-699a73bc18c6.extra_data.json,,82.0,,,2020-02-14 03:02:00.000,,2020-02-14 13:13:37.972,2020-02-14 13:13:37.972,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-14 13:09:00.000,67e25e28-6ed9-8298-fe49-699a73bc18c6,
,,,,,,,,,,,,0,,,,,,,,ff62e589-3311-86d5-e4dc-061f26bf4fce.extra_data.json,,92.0,,,2020-02-01 22:05:00.000,,2020-02-02 06:50:58.044,2020-02-02 06:50:58.044,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-02 06:50:00.000,ff62e589-3311-86d5-e4dc-061f26bf4fce,
,,,,,,,,,,,,0,,,,,,,,6826b8d1-5747-7f1b-44f6-2345766a9de1.extra_data.json,,91.0,,,2020-01-26 22:27:00.000,,2020-01-27 05:38:06.824,2020-01-27 05:38:06.824,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-01-27 05:38:00.000,6826b8d1-5747-7f1b-44f6-2345766a9de1,
,,,,,,,,,,,,0,,,,,,,,69c97737-bdf1-6cad-9ae1-0ab8902762cc.extra_data.json,,81.0,,,2020-02-25 21:12:00.000,,2020-02-26 06:14:38.464,2020-02-26 06:14:38.464,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-02-26 05:58:00.000,69c97737-bdf1-6cad-9ae1-0ab8902762cc,
,,,,,,,,,,,,0,,,,,,,,8cc67b0b-8c2a-d01d-23de-88e235a347a0.extra_data.json,,89.0,,,2020-03-01 14:18:00.000,,2020-03-01 15:39:16.396,2020-03-01 15:39:16.396,UTC+0200,AumAWJiKT9,,com.sec.android.app.shealth,2020-03-01 15:34:00.000,8cc67b0b-8c2a-d01d-23de-88e235a347a0,
