com.samsung.shealth.stand_day_summary,6188005,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
10764288,2019-06-09 21:26:51.286,2019-06-08 22:00:13.763,AumAWJiKT9,com.sec.android.app.shealth,38156016-b6ca-68c9-76d2-62f247b558bc,1560038400000,
688128,2019-06-15 17:31:04.719,2019-06-14 22:00:11.200,AumAWJiKT9,com.sec.android.app.shealth,67c4af3d-83fb-935b-6678-f8045779b5d9,1560556800000,
6050816,2019-06-21 20:19:59.752,2019-06-20 22:00:04.559,AumAWJiKT9,com.sec.android.app.shealth,78bfb6f5-5870-d2b6-5151-179136af431a,1561075200000,
4721664,2019-06-27 20:05:52.233,2019-06-26 22:00:10.502,AumAWJiKT9,com.sec.android.app.shealth,cdfc31e9-38b0-4f5a-55eb-282090d7e7dd,1561593600000,
276480,2019-07-03 16:40:07.265,2019-07-02 22:00:03.802,AumAWJiKT9,com.sec.android.app.shealth,d59b962d-2b42-79f3-d1d8-6f4006e10048,1562112000000,
4761600,2019-07-09 20:53:05.325,2019-07-08 22:00:03.874,AumAWJiKT9,com.sec.android.app.shealth,8eb250f2-82ac-2d8e-ca4e-68d52784c0f5,1562630400000,
4272128,2019-07-16 20:40:52.275,2019-07-15 22:00:31.440,AumAWJiKT9,com.sec.android.app.shealth,2235a193-ca2d-077a-3daa-76cf63f807db,1563235200000,
5603328,2019-07-22 20:51:56.280,2019-07-21 22:00:06.913,AumAWJiKT9,com.sec.android.app.shealth,a12bb8dd-60b2-7a21-07e4-bb8d982bce13,1563753600000,
4980736,2019-07-30 20:42:26.426,2019-07-29 22:00:04.820,AumAWJiKT9,com.sec.android.app.shealth,2c5a3410-929f-8a71-9973-c425bfb072c6,1564444800000,
1114112,2019-07-28 18:11:18.257,2019-07-27 22:00:09.941,AumAWJiKT9,com.sec.android.app.shealth,d4fa40cc-e1f5-e96b-e74c-dd0344da1eb0,1564272000000,
593920,2019-08-05 17:17:56.226,2019-08-04 22:00:07.909,AumAWJiKT9,com.sec.android.app.shealth,15f2b1be-cdcf-50b9-d920-955d24af8174,1564963200000,
12648449,2019-08-03 21:52:11.318,2019-08-02 22:02:43.150,AumAWJiKT9,com.sec.android.app.shealth,432c57c9-fa4a-597a-147f-3f510c19cfad,1564790400000,
