com.samsung.shealth.tracker.pedometer_day_summary,6188005,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1600,210096a2-3b00-4b66-93ea-180e75463664.binning_data.json,838379,6000,51,2019-06-19 21:18:33.062,com.sec.android.app.shealth,2019-06-19 03:36:27.576,,6.111111,1133.876,60.752,1549,AumAWJiKT9,com.sec.android.app.shealth,0,210096a2-3b00-4b66-93ea-180e75463664.achievement.json,210096a2-3b00-4b66-93ea-180e75463664,1560902400000,
5365,6af870b3-50a7-4731-9bb1-e143a2504933.binning_data.json,2621128,6000,232,2019-06-17 22:00:01.024,com.sec.android.app.shealth,2019-06-17 22:00:01.024,,3.4393115,4328.413,202.4635,5133,dNgkxZR9yp,com.sec.android.app.shealth,0,6af870b3-50a7-4731-9bb1-e143a2504933.achievement.json,6af870b3-50a7-4731-9bb1-e143a2504933,1560729600000,
495,0e3ccef7-01d1-4eb6-9d5c-35c965116817.binning_data.json,253943,6000,2,2019-06-15 22:50:48.265,com.sec.android.app.shealth,2019-06-15 22:50:48.265,,1.7375071,389.13065,17.617939,493,dNgkxZR9yp,com.sec.android.app.shealth,0,0e3ccef7-01d1-4eb6-9d5c-35c965116817.achievement.json,0e3ccef7-01d1-4eb6-9d5c-35c965116817,1560556800000,
9452,15c4d2eb-2f79-4c94-9fdb-fce5db5f911a.binning_data.json,4618320,6000,322,2019-06-17 21:35:12.585,com.sec.android.app.shealth,2019-06-17 05:06:50.899,,2.4444444,7004.416,374.699,9130,AumAWJiKT9,com.sec.android.app.shealth,0,15c4d2eb-2f79-4c94-9fdb-fce5db5f911a.achievement.json,15c4d2eb-2f79-4c94-9fdb-fce5db5f911a,1560729600000,
9504,e72b09dd-5de8-4cb0-b9ab-61f087b2fe38.binning_data.json,4744158,6000,145,2019-06-18 23:52:27.891,com.sec.android.app.shealth,2019-06-18 00:55:28.120,,2.6388888,7070.532,368.472,9359,AumAWJiKT9,com.sec.android.app.shealth,0,e72b09dd-5de8-4cb0-b9ab-61f087b2fe38.achievement.json,e72b09dd-5de8-4cb0-b9ab-61f087b2fe38,1560816000000,
7513,adaef16a-abab-477e-8312-4bbfb4d04f35.binning_data.json,3624214,6000,518,2019-06-22 22:35:21.246,com.sec.android.app.shealth,2019-06-21 22:17:51.087,,6.9444447,5888.24,319.811,6995,AumAWJiKT9,com.sec.android.app.shealth,0,adaef16a-abab-477e-8312-4bbfb4d04f35.achievement.json,adaef16a-abab-477e-8312-4bbfb4d04f35,1561161600000,
6663,f1f753e3-b8ab-40b3-9b5f-10bcf6bca33a.binning_data.json,3271729,6000,170,2019-06-18 22:00:01.552,com.sec.android.app.shealth,2019-06-18 22:00:01.552,,3.424352,5307.4473,244.90584,6493,dNgkxZR9yp,com.sec.android.app.shealth,0,f1f753e3-b8ab-40b3-9b5f-10bcf6bca33a.achievement.json,f1f753e3-b8ab-40b3-9b5f-10bcf6bca33a,1560816000000,
212,1353f180-1ec4-4425-85b1-81fb7da07e7b.binning_data.json,131793,6000,0,2019-06-19 22:00:01.603,com.sec.android.app.shealth,2019-06-19 22:00:01.603,,1.7115667,163.10841,7.5967927,212,dNgkxZR9yp,com.sec.android.app.shealth,0,1353f180-1ec4-4425-85b1-81fb7da07e7b.achievement.json,1353f180-1ec4-4425-85b1-81fb7da07e7b,1560902400000,
12415,71488f96-ba9a-45c8-ae61-deb10ad0c4d2.binning_data.json,6101310,6000,489,2019-06-20 23:35:44.070,com.sec.android.app.shealth,2019-06-20 05:05:19.997,,6.9444447,9329.454,514.41,11926,AumAWJiKT9,com.sec.android.app.shealth,0,71488f96-ba9a-45c8-ae61-deb10ad0c4d2.achievement.json,71488f96-ba9a-45c8-ae61-deb10ad0c4d2,1560988800000,
2332,88500364-6e98-41d3-966a-0945cf52987c.binning_data.json,1217049,6000,129,2019-06-21 22:17:51.081,com.sec.android.app.shealth,2019-06-21 05:49:38.209,,4.4722223,1661.631,91.31,2203,AumAWJiKT9,com.sec.android.app.shealth,0,88500364-6e98-41d3-966a-0945cf52987c.achievement.json,88500364-6e98-41d3-966a-0945cf52987c,1561075200000,
10534,bb0f3a89-8863-46a9-be27-73ee9da1645b.binning_data.json,5028689,6000,599,2019-06-25 23:15:03.593,com.sec.android.app.shealth,2019-06-25 00:24:38.056,,6.638889,8296.899,439.23022,9935,AumAWJiKT9,com.sec.android.app.shealth,0,bb0f3a89-8863-46a9-be27-73ee9da1645b.achievement.json,bb0f3a89-8863-46a9-be27-73ee9da1645b,1561420800000,
5714,10436f4d-e848-4c55-98a8-971c5a6188e4.binning_data.json,2872040,6000,235,2019-06-20 22:00:00.639,com.sec.android.app.shealth,2019-06-20 22:00:00.639,,3.8799598,4570.378,214.9134,5479,dNgkxZR9yp,com.sec.android.app.shealth,0,10436f4d-e848-4c55-98a8-971c5a6188e4.achievement.json,10436f4d-e848-4c55-98a8-971c5a6188e4,1560988800000,
5281,0a0edf33-974e-458f-86d4-c8f9873b8970.binning_data.json,2721846,6000,95,2019-06-24 00:15:06.472,com.sec.android.app.shealth,2019-06-23 07:11:30.779,,6.388889,3792.8423,196.20074,5186,AumAWJiKT9,com.sec.android.app.shealth,0,0a0edf33-974e-458f-86d4-c8f9873b8970.achievement.json,0a0edf33-974e-458f-86d4-c8f9873b8970,1561248000000,
265,8cd4b99b-0fac-4a2b-8d01-48357da6ead3.binning_data.json,146805,6000,11,2019-06-21 22:00:00.758,com.sec.android.app.shealth,2019-06-21 22:00:00.758,,3.3874085,211.01515,10.168453,254,dNgkxZR9yp,com.sec.android.app.shealth,0,8cd4b99b-0fac-4a2b-8d01-48357da6ead3.achievement.json,8cd4b99b-0fac-4a2b-8d01-48357da6ead3,1561075200000,
11136,f362fdc2-81f7-444c-ab80-34ce048c8300.binning_data.json,5587123,6000,165,2019-06-29 00:37:56.114,com.sec.android.app.shealth,2019-06-27 23:35:04.296,,4.0555553,8297.515,433.97415,10971,AumAWJiKT9,com.sec.android.app.shealth,0,f362fdc2-81f7-444c-ab80-34ce048c8300.achievement.json,f362fdc2-81f7-444c-ab80-34ce048c8300,1561680000000,
