com.samsung.shealth.stress,6188005,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2019-06-17 14:00:00.000,,666ae5bc-2efc-9fdb-8a9c-3a5d7afb7816.binning_data.json,10011,2019-06-17 15:05:46.332,2019-06-17 14:08:04.157,100.0,0.0,44.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-17 14:59:59.999,666ae5bc-2efc-9fdb-8a9c-3a5d7afb7816,
2019-06-17 20:00:00.000,,901b097a-66ac-07c8-3f5c-173b496df195.binning_data.json,10011,2019-06-17 21:01:02.173,2019-06-17 21:01:02.173,100.0,0.0,65.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-17 20:59:59.999,901b097a-66ac-07c8-3f5c-173b496df195,
2019-06-18 06:00:00.000,,84e91cfb-4d31-ced5-9707-9358f821e425.binning_data.json,10011,2019-06-18 07:07:37.421,2019-06-18 06:31:06.987,100.0,0.0,63.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-18 06:59:59.999,84e91cfb-4d31-ced5-9707-9358f821e425,
2019-06-18 12:00:00.000,,d7d45f72-6a2b-3e6a-5c47-713492b00310.binning_data.json,10011,2019-06-18 16:46:00.681,2019-06-18 12:24:32.218,99.0,0.0,31.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-18 12:59:59.999,d7d45f72-6a2b-3e6a-5c47-713492b00310,
2019-06-19 06:00:00.000,,00a3335d-fffc-7ae6-e103-68f154a0ae74.binning_data.json,10011,2019-06-19 07:04:58.412,2019-06-19 06:23:40.034,99.0,0.0,22.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-19 06:59:59.999,00a3335d-fffc-7ae6-e103-68f154a0ae74,
2019-06-19 12:00:00.000,,991885af-fdd3-de01-368c-65b4ce008560.binning_data.json,10011,2019-06-19 13:03:46.432,2019-06-19 13:03:46.432,99.0,0.0,26.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-19 12:59:59.999,991885af-fdd3-de01-368c-65b4ce008560,
2019-06-19 18:00:00.000,,2165f543-a404-09de-c385-87e98ab735cc.binning_data.json,10011,2019-06-19 19:03:15.527,2019-06-19 18:33:10.940,100.0,0.0,40.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-19 18:59:59.999,2165f543-a404-09de-c385-87e98ab735cc,
2019-06-20 06:00:00.000,,d078a23e-2049-bca8-ea10-a1a3535513ad.binning_data.json,10011,2019-06-20 07:05:18.593,2019-06-20 06:32:26.713,80.0,13.0,31.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-20 06:59:59.999,d078a23e-2049-bca8-ea10-a1a3535513ad,
2019-06-20 12:00:00.000,,8e5cf798-fd96-f7e5-d276-234f974163d5.binning_data.json,10011,2019-06-20 13:04:27.714,2019-06-20 13:04:27.714,99.0,0.0,38.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-20 12:59:59.999,8e5cf798-fd96-f7e5-d276-234f974163d5,
2019-06-03 08:17:16.710,,,10000,2019-06-03 08:17:16.710,2019-06-03 08:17:16.710,0.0,0.0,0.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-03 08:17:16.710,6e3fa5ec-74bb-f394-8d9c-52a4aa711227,
2019-06-20 18:00:00.000,,8941080a-e0ca-4833-4d35-362d67cdbca3.binning_data.json,10011,2019-06-20 19:05:54.713,2019-06-20 19:05:54.713,99.0,12.0,51.0,1,UTC+0300,AumAWJiKT9,,com.sec.android.app.shealth,2019-06-20 18:59:59.999,8941080a-e0ca-4833-4d35-362d67cdbca3,
