com.samsung.shealth.report,6188005,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Paris,1595109600000,2020-08-01 11:14:25.701,2020-07-26 11:11:30.123,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,0c46eba5-a34d-4a32-aeb6-f5d88685fc78,0c46eba5-a34d-4a32-aeb6-f5d88685fc78.compressed_content.json,
Europe/Paris,1598133600000,2020-09-05 11:11:14.307,2020-08-30 11:16:09.578,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,3631bbbc-c4ce-40be-91e1-ec1e98240f51,3631bbbc-c4ce-40be-91e1-ec1e98240f51.compressed_content.json,
Europe/Paris,1595714400000,2020-08-08 11:12:05.080,2020-08-02 11:16:54.555,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,aecc3177-fd96-45a4-be35-02380a492c8c,aecc3177-fd96-45a4-be35-02380a492c8c.compressed_content.json,
Europe/Paris,1593900000000,2020-07-18 11:10:24.065,2020-07-12 11:10:12.400,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,2a8a9bfe-aab8-4c5a-89ab-d5b60896365a,2a8a9bfe-aab8-4c5a-89ab-d5b60896365a.compressed_content.json,
Europe/Paris,1596319200000,2020-08-15 11:57:09.816,2020-08-09 11:26:30.478,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,5c82514b-225f-48fe-bb05-108675c96d0f,5c82514b-225f-48fe-bb05-108675c96d0f.compressed_content.json,
Europe/Paris,1597528800000,2020-08-28 11:14:04.859,2020-08-23 11:10:49.040,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,db62de3a-7f3a-4d2f-964f-88b67791f036,db62de3a-7f3a-4d2f-964f-88b67791f036.compressed_content.json,
Europe/Paris,1601762400000,2020-10-16 11:10:18.756,2020-10-12 11:10:32.550,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,f25392dc-e78c-4893-a301-53fcfefed539,f25392dc-e78c-4893-a301-53fcfefed539.compressed_content.json,
Europe/Paris,1598738400000,2020-09-12 11:27:23.083,2020-09-06 11:11:37.355,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,eda7cd3d-f303-49cb-a8e0-9546a0b6399a,eda7cd3d-f303-49cb-a8e0-9546a0b6399a.compressed_content.json,
Europe/Paris,1599343200000,2020-09-18 11:10:29.030,2020-09-13 11:24:05.767,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,4add3363-8b69-4092-b2ee-cebaea5b9b0d,4add3363-8b69-4092-b2ee-cebaea5b9b0d.compressed_content.json,
Europe/Paris,1599948000000,2020-09-26 11:10:49.751,2020-09-20 11:10:16.932,0,0,2,dNgkxZR9yp,X,com.sec.android.app.shealth,c16f0c0b-536c-456e-ae16-8d17f1ec6d5d,c16f0c0b-536c-456e-ae16-8d17f1ec6d5d.compressed_content.json,
